Entity,Code,Year,Plastic,GDP,Population,Continent
Turkey,TUR,2010,0.212,20027.66683,72326992,
Turks and Caicos Islands,TCA,2010,0.252,,32658,
Tuvalu,TUV,2010,0.144,3281.502177,10521,
Ukraine,UKR,2010,0.103,11778.3137,45792086,
United Arab Emirates,ARE,2010,0.199,54921.77558,8549998,
United Kingdom,GBR,2010,0.215,42089.01364,63459801,
United States,USA,2010,0.335,54315.91248,309011469,
Uruguay,URY,2010,0.252,19293.7408,3359273,
Vanuatu,VUT,2010,0.295,3088.978879,236216,
Venezuela,VEN,2010,0.252,,28439942,
Vietnam,VNM,2010,0.103,5089.411016,87967655,
Yemen,YEM,2010,0.103,,23154854,
